wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.13563.1.S1_at,3.026260868,5.821458849,2.811878232,5.795237576,2.752952849,5.837113643
Dr.9892.1.A1_at,8.033157893,9.513037108,8.417301594,9.731124836,8.443433096,9.853079818
Dr.24234.1.S1_at,5.403139433,6.77441764,5.4640189,6.751254093,5.012614724,6.607712624
Dr.10259.1.S1_at,9.791861587,10.52130089,10.13586814,10.85542312,9.923747541,10.5864652
Dr.12291.1.A1_at,7.311959878,5.700453494,6.937146997,5.854481962,7.074624632,5.918404816
Dr.8108.1.S1_at,9.238182328,9.568145972,9.329423658,9.668396031,9.353974744,9.649055568
Dr.16269.1.A1_at,9.913113544,9.466196012,10.16350275,9.543548058,9.912418834,9.345407673
Dr.12526.2.S1_at,6.885526357,8.020637384,6.769255845,7.897939103,6.53839058,7.371953776
Dr.1760.2.S1_x_at,4.15051127,4.385690887,4.087001848,4.360764924,4.144885556,4.391815922
Dr.20794.1.A1_at,3.371955936,2.481629746,3.988407263,2.56180289,3.611460275,2.548683537
Dr.4041.1.A1_at,9.379577369,8.506542115,9.152847349,8.631757455,9.282803347,8.391033437
Dr.7123.1.A1_at,7.146406721,6.643312848,7.2065856,6.857893285,7.22059042,6.640174792
Dr.12134.1.A1_a_at,3.56244589,4.970813118,4.186416842,5.631306626,4.682143646,6.097624539
Dr.4268.1.S1_at,4.567851409,5.300077967,5.090886896,5.678095081,4.656214492,5.404170185
Dr.20429.1.S1_at,5.605398888,6.302281473,5.69939331,6.38138939,5.125950542,5.954077571
Dr.17792.2.A1_at,11.11338196,9.463937394,11.06237213,10.01060856,10.49923687,9.305269091
Dr.13976.1.A1_at,8.322028259,7.800002672,7.988340697,7.555067504,8.221382538,7.797939305
Dr.12878.3.A1_a_at,2.916600682,4.15879612,3.674204603,5.126076372,3.749904625,5.376114411
Dr.8388.1.S1_at,10.26750308,9.656671631,10.19189961,9.526525648,10.62687728,9.603626184
Dr.9892.2.S1_at,5.164243838,7.172543073,6.294582211,7.64123683,6.042161268,7.322429191
Dr.4370.1.A1_at,9.723298377,9.489404071,9.715542427,9.518841308,9.725453094,9.542365147
Dr.1882.1.S1_at,8.667968284,9.155867496,8.852591152,9.41979836,8.552730456,9.383950056
Dr.14834.1.A1_at,9.461060076,9.073193541,9.389467567,8.777451446,9.523195599,9.085676922
Dr.6112.1.A1_at,8.802694649,8.068807083,9.490902897,8.37874707,9.232372584,8.455382083
Dr.16578.1.A1_at,8.454344977,7.415159197,8.339509748,7.749615685,8.165763677,7.533728086
Dr.4953.1.S1_at,8.169092006,8.463512886,8.294021731,8.599069228,8.289716061,8.498152348
Dr.25553.1.A1_at,2.934960836,3.572789159,3.372989328,4.125029735,3.450077519,4.220737174
Dr.22195.1.A1_at,7.594472895,7.282825739,7.530880944,7.162897347,7.772118983,7.445811917
Dr.12070.1.A1_at,8.156494994,7.597085641,8.274606159,7.696222314,8.347259108,7.35565878
Dr.5274.1.S1_at,10.46189425,10.02811844,10.64105891,10.30529765,10.37762282,9.949062109
Dr.13051.1.A1_at,8.443605445,7.574217312,7.980506914,7.053673877,7.999251639,7.460534375
Dr.4673.1.A1_at,4.186507352,5.617736005,4.085076229,5.032237186,4.482740206,5.228716022
Dr.14140.1.S1_at,9.800741543,9.398424112,9.801565966,9.320251186,9.596958316,8.958344765
Dr.20789.1.A1_at,11.40419352,10.38066395,11.45222972,10.37289344,11.3736598,10.85322693
Dr.6958.1.S1_at,4.116858555,4.758638756,3.882594779,4.850642411,3.971767743,5.308861812
Dr.12906.1.A1_at,9.604091251,9.267300777,9.382159146,9.084483627,9.350458579,9.059975797
Dr.10113.1.S1_at,10.42499742,9.842613285,9.996853657,9.599301943,10.09423907,9.66973238
Dr.20070.1.S1_at,13.5241892,13.74169007,13.4648766,13.65651575,13.44425702,13.62487591
Dr.9682.1.A1_at,6.584610659,3.64583423,4.575604137,2.882161704,5.215893661,3.267171335
Dr.17792.1.S1_at,7.751509845,6.700737916,8.184729156,6.902185155,7.289504229,6.622129517
Dr.4412.18.A1_at,6.780683449,6.128706065,7.370004132,6.314243413,6.95497729,6.366478475
Dr.8658.1.A1_at,9.858237919,8.92276327,9.138173257,8.305945545,9.693452693,8.246791658
Dr.18354.1.A1_at,3.389534898,3.138743054,3.584370254,3.255142229,3.540967401,3.311788746
Dr.538.1.S1_at,6.358837484,7.374485999,7.307273394,8.195489192,7.19660397,8.231176494
Dr.51.1.S1_at,11.35430358,11.07817819,11.58314772,11.26735036,11.60003658,11.31194847
Dr.6136.1.A1_at,5.317112296,4.333081295,5.442313786,3.582986881,4.585871729,3.012569542
Dr.12459.1.A1_at,8.782374787,9.88867039,9.192186483,9.685380675,9.117845851,9.866567725
Dr.18434.1.A1_at,7.251628294,6.701674139,7.501957413,6.711561421,6.844801739,6.268138391
Dr.26392.2.S1_at,6.89096585,7.778616342,7.570265718,8.315260754,7.112224783,7.689395696
Dr.6026.1.A1_at,9.695797909,9.361480109,9.7945534,9.539505295,9.591477451,9.366724668
Dr.10434.1.S1_at,6.599253493,7.521979766,5.861113325,8.061182435,5.749452606,7.540496873
Dr.23612.1.A1_at,6.761611635,6.149659482,6.600170895,5.722867534,7.381688248,6.337012898
Dr.12134.4.A1_at,2.819761633,3.752065559,2.888708969,4.024932799,3.507205163,4.042329472
Dr.20738.1.S1_at,11.08404493,11.52668578,10.94154907,11.2014812,11.02207549,11.3399425
Dr.25404.2.A1_at,7.478799463,8.864334438,8.209443689,8.858695811,8.044466133,8.921556859
Dr.11990.1.A1_at,6.941046419,6.028083863,6.952131646,6.380393036,6.380982494,5.714000445
Dr.7422.1.A1_at,11.14660468,11.41209298,11.18964753,11.4221335,10.92855655,11.27857302
Dr.23733.2.A1_at,11.80079616,11.56957404,11.64395159,11.34360927,11.61951912,11.29357693
Dr.756.1.S1_at,12.42567454,12.89035125,12.39324438,12.61064023,12.36616454,12.75982238
Dr.528.1.A1_at,7.506722313,7.316797907,7.374517219,7.121759355,7.420212971,7.209218844
Dr.15757.1.A1_at,10.90958072,10.66380569,11.129653,10.62852032,11.21834187,10.79789105
Dr.18076.1.A1_at,8.664775064,8.089431424,8.679628621,7.933222714,8.184033951,7.280056747
Dr.4354.1.A1_at,10.38247959,10.13818631,10.38268198,9.853459513,10.53849075,10.00571871
