Gene stable ID	Gene name	AFFY Zebrafish probe
ENSDARG00000063905	mt-co1	Dr.20553.2.A1_a_at
ENSDARG00000063905	mt-co1	Dr.20553.1.A1_x_at
ENSDARG00000063905	mt-co1	Dr.20553.1.A1_at
ENSDARG00000083519	AC024175.24	Dr.20553.2.A1_a_at
ENSDARG00000063908	mt-co2	Dr.20553.2.A1_a_at
ENSDARG00000035282	emc6	Dr.13110.1.A1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.2.S1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.1.A1_at
ENSDARG00000102274	aaas	Dr.12503.2.S1_at
ENSDARG00000044914	suclg2	Dr.5465.1.A1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.2.S1_at
ENSDARG00000011360	nfatc2ip	Dr.9520.1.A1_at
ENSDARG00000045893	kctd15a	Dr.125.1.A1_at
ENSDARG00000016783	srsf6b	Dr.4579.1.A1_at
ENSDARG00000071233	zgc:158254	Dr.9582.1.A1_at
ENSDARG00000045878	nudt4b	Dr.21742.1.A1_at
ENSDARG00000054606	mrpl1	Dr.16031.1.S1_at
ENSDARG00000015567	zic1	Dr.6760.1.S1_at
ENSDARG00000055443	zcchc7	Dr.18487.1.S1_at
ENSDARG00000089646	ctdspl3	Dr.5629.1.A1_at
ENSDARG00000087197	ros1	Dr.20986.1.S1_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S2_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S1_at
ENSDARG00000073724	nlrx1	Dr.18589.1.A1_at
ENSDARG00000086416	med11	Dr.19071.1.A1_at
ENSDARG00000093997	si:dkey-9i23.15	Dr.5322.1.S1_at
ENSDARG00000073724	nlrx1	Dr.18589.1.A1_at
ENSDARG00000016302	upf1	Dr.13594.1.S1_at
ENSDARG00000016302	upf1	Dr.7841.1.A1_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S2_at
ENSDARG00000013144	atp1b1a	Dr.10198.1.S1_at
ENSDARG00000041359	zgc:161969	Dr.18035.1.S1_at
ENSDARG00000036371	acta1a	Dr.4837.1.A1_at
ENSDARG00000040401	slc25a20	Dr.2784.1.A1_at
ENSDARG00000078492	swi5	Dr.17855.1.S1_at
ENSDARG00000103871	si:ch73-109d9.2	Dr.6647.1.A1_at
ENSDARG00000078492	swi5	Dr.17855.1.S1_at
ENSDARG00000004594	znf800a	Dr.24304.1.S1_at
ENSDARG00000099273	zgc:103508	Dr.9671.1.S1_at
ENSDARG00000004594	znf800a	Dr.24304.1.S1_at
ENSDARG00000041359	zgc:161969	Dr.18035.1.S1_at
ENSDARG00000069313	oxa1l	Dr.18637.1.A1_at
ENSDARG00000016302	upf1	Dr.13594.1.S1_at
ENSDARG00000070358	smim12	Dr.10240.1.S1_at
ENSDARG00000010207	smad3b	Dr.19379.1.S1_at
ENSDARG00000056665	nsun2	Dr.5306.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000031971	kdelc1	Dr.20639.1.S1_at
ENSDARG00000056665	nsun2	Dr.5306.1.S1_at
ENSDARG00000059054	pdk2b	Dr.9528.1.S1_at
ENSDARG00000059054	pdk2b	Dr.9528.1.S1_at
ENSDARG00000040033	trmt11	Dr.3155.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000040033	trmt11	Dr.3155.1.S1_at
ENSDARG00000095273	cox8a	Dr.1141.1.A1_at
ENSDARG00000076017	tmem69	Dr.15401.1.A1_at
ENSDARG00000003854	acsl1b	Dr.6885.1.A1_at
ENSDARG00000003854	acsl1b	Dr.2996.1.A1_at
ENSDARG00000073883	clstn3	Dr.14069.1.A1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000103845	zgc:55733	Dr.9353.1.S1_at
ENSDARG00000073883	clstn3	Dr.14069.1.A1_at
ENSDARG00000103845	zgc:55733	Dr.9353.1.S1_at
ENSDARG00000020741	fga	Dr.845.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000003904	sycp1	Dr.18395.1.S1_at
ENSDARG00000033450	nkap	Dr.16023.1.A1_at
ENSDARG00000033450	nkap	Dr.16023.2.S1_at
ENSDARG00000070833	lin52	Dr.16539.1.S1_at
ENSDARG00000071005	ppp1r3ca	Dr.8497.1.A1_at
ENSDARG00000074848	smim7	Dr.23161.1.S1_at
ENSDARG00000045877	ube2nb	Dr.16839.1.S1_at
ENSDARG00000104132	traj28	Dr.10682.1.S1_at
ENSDARG00000039215	arrb2a	Dr.4114.1.S1_at
ENSDARG00000039215	arrb2a	Dr.26320.1.A1_at
ENSDARG00000068460	otog	Dr.7234.1.A1_at
ENSDARG00000041051	mid1ip1a	Dr.20054.1.S1_at
